"no";"tipo";"de_para";"resumo";"data"
"532";"telegrama";"Embaixada em  WASHINGTON";"EUA.    Armas    nucleares.  Terrorismo.       Garantias  negativas.
Mudança    da  doutrina governamental.";2002-03-07
"543";"telegrama";"Embaixada em  WASHINGTON";"Agricultura.   OGMs.   Nova  Regulamentação      Chinesa. Possibilidade   de   Acordo  Temporário.";2002-03-08
"158";"despacho telegráfico";"Embaixada em  PEQUIM";"Assistência consular.  Contato de escritório de  advocacia.";2002-03-11
"218";"telegrama";"Embaixada em  PEQUIM";"Mudança do Clima. IPCC.  Presidência. Candidatura  brasileira.";2002-03-11
"559";"telegrama";"Embaixada em  WASHINGTON";"Direitos    Humanos.   CDH.  Myanmar.  Visita  do  Relator  Especial ao DoS.";2002-03-11
"564";"telegrama";"Embaixada em  WASHINGTON";"Colômbia.  Posição  dos  EUA.  Perspectiva     de    maior
envolvimento. A  transição de  antidrogas            para antiterrorismo.";2002-03-12
"167";"despacho telegráfico";"Embaixada em  PEQUIM";"Solicitação de adiantamento  a Itaipu Binacional. Gestão  do
Presidente do Paraguai.";2002-03-13
"580";"telegrama";"Embaixada em  WASHINGTON";"EUA.  Releções  hemisféricas.  Apresentação do Secretário de Estado Assistente Otto Reich.";2002-03-13
"581";"telegrama";"Embaixada em  WASHINGTON";"Não proliferação.Desarmamento.  Armas Nucleares. Alteração da doutrina de Segurança dos EUA.";2002-03-13
"235";"telegrama";"Embaixada em  PEQUIM";"Soja OGM. Medidas restritivas.  Solicitação de informações.";2002-03-14
"587";"telegrama";"Embaixada em  WASHINGTON";"Assuntos  consulares.  Pedido  do\"Diplomatic Security Service  do Departamento de Estado.Pedi  do de vistos  nos  Consulados
brasileiros.";2002-03-14
"586";"telegrama";"Embaixada em  WASHINGTON";"Informação Comercial. Consulta  sobre empresa sediada na
Suécia.";2002-03-14
"583";"telegrama";"Embaixada em  WASHINGTON";"Não-Proliferação. AIEA. Modelo  de Protocolo Adicional.  Consultas
e Negociações  Brasil-AIEA. Instruções.";2002-03-14
"237";"telegrama";"Embaixada em  PEQUIM";"Deslocamento provisório de  funcionário do Secom para  Xangai.";2002-03-15
"238";"telegrama";"Embaixada em  PEQUIM";"Soja OGM. Medidas restritivas.  Entrada em vigor";2002-03-15
"599";"telegrama";"Embaixada em  WASHINGTON";"Informação   sobre   vistos  concedidos a       cidadãos americanos.";2002-03-15
"609";"telegrama";"Embaixada em  WASHINGTON";"SÃO TOMÉ E PRÍNCIPE.  CPLP.  SECRETARIA-EXECUTIVA.CONSULTA.";2002-03-15
"242";"telegrama";"Embaixada em  PEQUIM";"Comércio. China-EUA. Sobretaxa  ao  aço  nos EUA. Hipoótese de sobretaxa  à  soja   norte-  americana   importada  pela  China.";2002-03-18
"618";"telegrama";"Embaixada em  WASHINGTON";"Relações  Brasil-EUA. Reunião  do  mecanismo  de  consulta
politica  bilateral. Proposta  de datas.";2002-03-18
"625";"telegrama";"Embaixada em  WASHINGTON";"Sudão.Egito. Olítica externa.  Política interna.";2002-03-18
"630";"telegrama";"Embaixada em  WASHINGTON";"Política  Externa.  Oriente  Médio. O  difícil engajamento  norte- americano.";2002-03-19
"629";"telegrama";"Embaixada em  WASHINGTON";"Política externa. Brasil-EUA.  Conversa  com o  Chefe  da  Divisão de  Assuntos Andinos  do DOS. Venezuela.";2002-03-19
"187";"despacho telegráfico";"Embaixada em  PEQUIM";"Soja OGM. Medidas restritivas.  Dano    às    exportações brasileiras.   Missão   do  Ministério da Agricultura.";2002-03-20
"259";"telegrama";"Embaixada em  PEQUIM";"Nações Unidas. Conselho de  Segurança. Postulação  brasileira. Apoio da China.  Consulta.";2002-03-20
"261";"telegrama";"Embaixada em  PEQUIM";"Visita do Ministro de Estado  ao Japão. Avaliação.";2002-03-20
"643";"telegrama";"Embaixada em  WASHINGTON";"Desarmamento. Armas Químicas.  OPAQ. Diretor-Geral.";2002-03-20
"639";"telegrama";"Embaixada em  WASHINGTON";"Etiquetas adesivas para visto  consular. Recebimento.";2002-03-20
"264";"telegrama";"Embaixada em  PEQUIM";"Brasil-China. Visita do MDIC.  Carta do Presidente da ABIOVE.  Óleo de soja. Desgravação  tarifária.";2002-03-21
"265";"telegrama";"Embaixada em  PEQUIM";"PEDIDO DE INFORMAÇÕES.CIDADÃO  IRANIANO.";2002-03-21
"655";"telegrama";"Embaixada em  WASHINGTON";"Brasil-EUA.  Notícia  sobre  possível visita do Presidente  George
W. Bush. Contato com o  Departamenrto de Estado.";2002-03-21
"646";"telegrama";"Embaixada em  WASHINGTON";"Desarmamento. Armas Químicas.  OPAQ. Diretor-Geral. Conselho
Executivo.Posição do DOS.";2002-03-21
"653";"telegrama";"Embaixada em  WASHINGTON";"Desarmamento. Armas químicas.  OPAQ. Diretor-Geral. Conversa com Tony Harrington.";2002-03-21
"668";"telegrama";"Embaixada em  WASHINGTON";"Desarmamento. Armas Químicas.  OPAQ. Diretor-Geral. Pressões dos  EUA.  Repercussões  na  imprensa.";2002-03-21
