"no";"tipo";"de_para";"resumo";"data"
"2545";"TEL";"WASHINGTON (E)";"Brasil-EUA. III Reunião do Mecanismo de Consulta Política. Washington, 22/10. Relato.";2002-10-23
"2544";"TEL";"WASHINGTON (E)";"Brasil-México. reunião do Senhor SG com o Subsecretário para América do Norte do Tlatelolco.";2002-10-23
"2543";"TEL";"WASHINGTON (E)";"EUA-Brasil-México. Reunião trilateral. Washington, 22/10. Relato.";2002-10-23
"1083";"DET";"WASHINGTON (E)";"Extensão da Extradição. Brasil/EUA.";2002-10-24
"2558";"TEL";"WASHINGTON (E)";"Tríplice Fronteira. Alegada presença de grupos terroristas na região. Matéria da revista `The New Yorker`.";2002-10-24
"1160";"TEL";"PEQUIM (E)";"Brasil-china. Mecanismo de consultas bilaterais. Modelo de diálogo de alto nível entre a China e a África do Sul.";2002-10-25
"2579";"TEL";"WASHINGTON (E)";"Brasil-Bangladesh. Cumulatividade. Pedido de agrément\". Embaixador Syed Hasan Ahmad. \"";2002-10-25
"1086";"DET";"WASHINGTON (E)";"Brasil-Bangladesh. Cumulatividade. Pedido de agrément\". Embaixador Syed Hasan Ahmad. Pedido de informações. \"";2002-10-25
"2573";"TEL";"WASHINGTON (E)";"Promoção Comercial. Equipamentos militares. Sondagem sobre potencial exportador brasileiro para os Estados Unidos.";2002-10-25
"2574";"TEL";"WASHINGTON (E)";"Telefonema de Bush ao presidente-eleito do Brasil. Encontro entre os presidentes. Visita de Collin Powell. Posse.";2002-10-25
"1091";"DET";"WASHINGTON (E)";"Tríplice Fronteira. Alegada presença de grupos terroristas na região. Matéria da revista ´The New Yorker´. Carta ao editor.";2002-10-25
"1161";"TEL";"PEQUIM (E)";"Coréia do Norte. Programa nuclear. Reações na China.";2002-10-27
"1167";"TEL";"PEQUIM (E)";"Brasil-China. Soja. Lei de Controle de transgênicos. Encontro com o Ministro da Agricultura. Pedido de instruções.";2002-10-28
"1093";"DET";"WASHINGTON (E)";"Promoção Comercial. Equipamentos militares. Sondagem sobre potencial exportador brasileiro para os Estados Unidos.";2002-10-28
"1173";"TEL";"PEQUIM (E)";"Brasil-China. Comércio agrícola. Reunião de funcionários do MAPA na Administração de Quarentena. Relato.";2002-10-29
"2604";"TEL";"WASHINGTON (E)";"Brasil-EUA. Carta do Presidente da Comissão de Relações Exteriores sobre o Presidente-eleito do Brasil.";2002-10-29
"2596";"TEL";"WASHINGTON (E)";"Brasil-EUA. Eleições 2002. Evento no CSIS. Observações de funcionário do Departamento de Estado.";2002-10-29
"2605";"TEL";"WASHINGTON (E)";"EUA. Política Externa. Estratégia de Segurança Nacional dos governos Bush e Clinton. Análise.";2002-10-29
"1177";"TEL";"PEQUIM (E)";"Brasil-China. Comércio agrícola. Vegetais. Reunião de funcionário do MAPA com a AQSIQ. Relato.";2002-10-30
"1178";"TEL";"PEQUIM (E)";"Brasil-China. Comércio agrícola. Carnes. Reunião com a AQSIQ.";2002-10-30
"2622";"TEL";"WASHINGTON (E)";"EUA. Agricultura. Café. Padrões de Qualidade. Possível Projeto de Lei.";2002-10-30
"2631";"TEL";"WASHINGTON (E)";"Agricultura. Reunião das Embaixadas do Grupo de Cairns-Washington. Convidado do FAS/USDA.";2002-10-31
"1104";"DET";"WASHINGTON (E)";"Brasil-Bangladesh. Pedido de agrément. Embaixador Syed Hasan Ahmad.";2002-10-31
"1189";"TEL";"PEQUIM (E)";"Brasil-RPC. 13ª reunião do Comitê Conjunto do Programa CBERS. Visita do MCT à China. Cooperação sobre o uso imagens de sensoreamento remoto.";2002-01-11
"1192";"TEL";"PEQUIM (E)";"Brasil-China. Assuntos jurídicos. Expulsão de cidadão chinês do Brasil. Escolta efetuada pela Polícia Federal, sem aviso prévio ao posto.";2002-04-11
"819";"DET";"PEQUIM (E)";"Brasil-China. Expulsão. Cidadão chinês.";2002-04-11
