"no";"tipo";"de_para";"resumo";"data"
"93";"DET";"PEQUIM (E)";"Crises da Coréia do Norte e do Iraque. Posição chinesa.";2003-02-27
"180";"DET";"WASHINGTON (E)";"ALCA. Oferta norte-americana de acesso a mercados de bens agrícolas e não-agrícolas. Solicitação de subsídios.";2003-02-27
"532";"TEL";"WASHINGTON (E)";"EUA. Política externa. Venezuela. Reações do governo e da imprensa aos últimos acontecimentos.";2003-02-27
"96";"DET";"PEQUIM (E)";"Crises da Coréia do Norte e do Iraque. Posição chinesa.";2003-02-28
"150";"TEL";"PEQUIM (E)";"Política externa. Crise da Coréia do Norte. Visita do Secretário de Estado norteamericano. Implicações políticas.";2003-02-28
"542";"TEL";"WASHINGTON (E)";"EUA. Política externa e interna. Iraque. Posições da mídia e da sociedade americanas.";2003-02-28
"539";"TEL";"WASHINGTON (E)";"EUA. Política de Segurança. Armas Nucleares de baixa potência.";2003-02-28
"565";"TEL";"WASHINGTON (E)";"Política Externa. Atividades da Embaixada em Washington. Pedido de informação.";2003-01-03
"606";"TEL";"WASHINGTON (E)";"Energia. AES Corporation. Visita do CEO. Solução negociada para os problemas no Brasil.";2003-05-03
"601";"TEL";"WASHINGTON (E)";"EUA. Política externa. Iraque. Aproximação do conflito. Discurso do Secretário de Estado Colin Powell. Briefing de Condi Rice.";2003-05-03
"591";"TEL";"WASHINGTON (E)";"EUA. Política externa. Iraque. Não-Proliferação. Matérias de imprensa sobre revelações do desertor iraquiano Hussein Kamel.";2003-05-03
"159";"TEL";"PEQUIM (E)";"China Iraque. O Presidente Jiang Zemin o e Chanceler Schroeder coincidem sobre Iraque. A prudência chinesa todavia se mantém.";2003-06-03
"190";"DET";"WASHINGTON (E)";"Critério para Classificação de Movimento Terrorista\". \"";2003-06-03
"609";"TEL";"WASHINGTON (E)";"Cumulatividade. BrasilIslândia. Pedido de agrément\". Embaixador Helgi Ágústsson. \"";2003-06-03
"163";"TEL";"PEQUIM (E)";"Crise do Iraque. Posição chinesa. Aproximação com a posição dos países do memorando de 5 de março.";2003-07-03
"142";"TEL";"PEQUIM (E)";"Crises da Coréia do Norte e do Iraque. Posição chinesa.";2003-07-03
"110";"DET";"PEQUIM (E)";"Visita do Embaixador da China ao Ministro das Comunicações, Deputado Miro Teixeira. Relato.";2003-07-03
"635";"TEL";"WASHINGTON (E)";"ALCA. Acesso a mercados. Ofertas iniciais. Lista dos EUA. Solicitação de subsídios. Comentários preliminares de Washington.";2003-07-03
"206";"DET";"WASHINGTON (E)";"Desenvolvimento Sustentável. Fundo Mundial para o Meio Ambiente - GEF. Proposta de nova política de distribuição de recursos. Comentários.";2003-07-03
"626";"TEL";"WASHINGTON (E)";"EUA. Política externa e interna. Iraque. Entrevista do Presidente Bush. Comentários.";2003-07-03
"200";"DET";"WASHINGTON (E)";"Iraque. Venezuela. Conversa com o Secretário Colin Powell.";2003-07-03
"625";"TEL";"WASHINGTON (E)";"Telegrama anulado pelo CONTROLE DE SÉRIE (DCA) em: 10/03/2003 10:34 Operador ----> CLAUDIA ZILA CORREIA LOPES";2003-07-03
"648";"TEL";"WASHINGTON (E)";"EUA. Combate ao terrorismo. Critério para classificação de grupos terroristas.";2003-10-03
"116";"DET";"PEQUIM (E)";"Brasil-China. Estabelecimento de Comissão de Alto Nível. Minuta de proposta brasileira. Entrega ao Embaixador da China em Brasília.";2003-12-03
"686";"TEL";"WASHINGTON (E)";"Desenvolvimento sustentável. GEF. Proposta de nova política de distribuição de recursos. Comentários.";2003-12-03
"220";"DET";"WASHINGTON (E)";"Assuntos de Segurança. Terrorismo. Contatos entre Grupo terrorista argelino e indivíduo no Brasil.";2003-03-13
"701";"TEL";"WASHINGTON (E)";"Brasil-EUA. Gestos e palavras do Departamento de Estado.";2003-03-13
"703";"TEL";"WASHINGTON (E)";"Energia. Visita da Ministra de Minas e Energia.";2003-03-13
"700";"TEL";"WASHINGTON (E)";"EUA. Política externa. Mudanças na equipe responsável pelas relações com a América Latina.";2003-03-13
"177";"TEL";"PEQUIM (E)";"China-Iraque. Posição chinesa de crítica moderada aos EUA.";2003-03-14
"164";"TEL";"PEQUIM (E)";"Cumulatividade. Coréia do Norte. Política Externa. Últimos desdobramentos da crise.";2003-03-14
"718";"TEL";"WASHINGTON (E)";"Brasil-EUA. Espaço. Acordo de Alcântara. Revisão pelo Governo brasileiro.";2003-03-14
"714";"TEL";"WASHINGTON (E)";"EUA. Política externa. Iraque. Votação do projeto de Resolução. Declarações de Colin Powell. Outros desdobramentos.";2003-03-14
"129";"DET";"PEQUIM (E)";"ONU. Questão do Iraque. Carta do Presidente da República ao Secretário-Geral da ONU";2003-03-17
"721";"TEL";"WASHINGTON (E)";"EUA. Política externa e interna. Iraque. Cúpula dos Açores.";2003-03-17
