"no";"tipo";"de_para";"resumo";"data"
"897";"telegrama";"Consulado em  NOVA YORK";"PROMOCAO COMERCIAL. REDE  INFORMATIZADA. SENHA SEC.";1998-12-01
"2015";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. RELACOES COM COLOMBIA E  VENEZUELA. PROPOSTA DE
CONSULTAS  POLITICAS.";1998-12-01
"2019";"telegrama";"Embaixada em  WASHINGTON";"PROTOCOLO. BRASIL-IRAQUE.  PEDIDO DE
''AGREMENT''.";1998-12-01
"1183";"despacho telegráfico";"Consulado em  NOVA YORK";"PROMOCAO COMERCIAL. SISTEMA  BRAZILTRADENET.";1998-12-02
"1673";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. RELACOES COM  COLOMBIA  E  VENEZUELA.  PROPOSTA DE
CONSULTAS  POLITICAS.";1998-12-03
"1670";"despacho telegráfico";"Embaixada em  WASHINGTON";"PROTOCOLO. BRASIL-IRAQUE.  
SOLICITACAO DE  ''AGREMENT''.";1998-12-03
"2031";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. RELACOES COM COLOMBIA E  VENEZUELA. PROPOSTA DE
CONSULTAS  POLITICAS.";1998-12-04
"1688";"despacho telegráfico";"Embaixada em  WASHINGTON";"BRASIL-EUA. INDICACAO DE NOVO  EMBAIXADOR EM BRASILIA.  ''AGREMENT''.";1998-12-08
"2065";"telegrama";"Embaixada em  WASHINGTON";"BRASIL-EUA. INDICACAO DO NOVO  EMBAIXADOR EM BRASILIA.  ''AGREMENT''.";1998-12-09
"2075";"telegrama";"Embaixada em  WASHINGTON";"REINO UNIDO-CHILE. PEDIDO DE  EXTRADICAO DO SENADOR PINOCHET.
DECLARACAO DO SENHOR MINISTRO DE  ESTADO.";1998-12-10
"1744";"despacho telegráfico";"Embaixada em  WASHINGTON";"PROTOCOLO. BRASIL-EUA.  EMBAIXADOR BRIAN ATWOOD.  ''AGREMENT''.";1998-12-14
"2091";"telegrama";"Embaixada em  WASHINGTON";"COMERCIO. SUBSIDIOS. CONTENCIOSO  EMBRAER-BOMBARDIER.
DESENVOLVIMENTOS  EM WASHINGTON.";1998-12-15
"2097";"telegrama";"Embaixada em  WASHINGTON";"PROTOCOLO. BRASIL-ISLANDIA.  EMBAIXADOR JON HANNIBALSSON.
APRESENTACAO DE CREDENCIAIS.";1998-12-15
