"no";"tipo";"de_para";"resumo";"data"
"759";"telegrama";"Embaixada em  WASHINGTON";"Relações  Brasil-EUA.  ALCA.";2001-03-22
"761";"telegrama";"Embaixada em  WASHINGTON";"Relações  Brasil-EUA.  ALCA.";2001-03-22
"694";"telegrama";"Embaixada em  WASHINGTON";"Relações  Brasil-EUA.  ALCA.  Posição do Brasil.";2001-03-19
"2154";"telegrama";"Embaixada em  WASHINGTON";"Relações  Brasil-EUA.  Visita  do    Presidente   Fernando  Henrique Cardoso.";2000-10-11
"264";"telegrama";"Embaixada em  WASHINGTON";"Relações  Brasil-EUA.  Visita  do  Ministro  Celso  Lafer a  Washington.";2001-02-01
"263";"telegrama";"Embaixada em  WASHINGTON";"Relações  Brasil-EUA.  Visita  presidencial. Programação.";2001-02-01
"236";"telegrama";"Embaixada em  WASHINGTON";"Relações Brasil-EUA. Contatos  de Alto Nível.";2001-01-31
"1631";"telegrama";"Embaixada em  WASHINGTON";"Reunião  dos  Presidentes  da  América  do  Sul.  Diferendo  territorial  entre a Guiana e  o
Suriname.  Convite  para  discutir o assunto no DOS.";2000-08-04
"946";"despacho telegráfico";"Embaixada em  WASHINGTON";"Reunião de Presidentes da  América do Sul. Diferendo  entre Guiana e Suriname.  Convite do
DOS";2000-08-08
"2422";"telegrama";"Embaixada em  WASHINGTON";"Situação    na   Argentina.  Preocupação nos EUA. Conversa  no Departamento de Estado.";2000-11-08
"932";"telegrama";"Embaixada em  WASHINGTON";"Transportes  aéreos.  Brasil-  EUA. Inspeção. Certificação.";2001-04-05
"774";"telegrama";"Embaixada em  WASHINGTON";"Visita  do  Presidente  da  República.       Subsídio. O  encontro  presidencial e  as  relações
Brasil-EUA.";2001-03-23
"775";"telegrama";"Embaixada em  WASHINGTON";"Visita  do  Presidente  da  República.      Subsídios. A  dimensão  interna  do governo  George
W. Bush.";2001-03-23
"776";"telegrama";"Embaixada em  WASHINGTON";"Visita  do  Presidente  da  República.      Subsídios. A  política  externa  do governo  George
W. Bush.";2001-03-23
"748";"telegrama";"Embaixada em  WASHINGTON";"Visita  do  Senhor Presidente  da  República.  Café da manhã  com o Diretor-Gerente do FMI.
Divulgação à imprensa.";2001-03-22
