"no";"tipo";"de_para";"resumo";"data"
"779";"telegrama";"Embaixada em PEQUIM";"China. Aﬁrma‡Æo do poder do  Partido sobre os meios  militares.";1999-10-07
"1855";"telegrama";"Embaixada em WASHINGTON";"ReuniÆo de Presidentes.  Floren‡a. Encontro. Ministro  Bresser Pereira.";1999-10-13
"1618";"despacho telegráfico";"Embaixada em WASHINGTON";"Embaixada em WASHINGTON";1999-10-20
"1906";"telegrama";"Embaixada em WASHINGTON";"BRASIL-EUA. AQUISI€ÇO DE  EQUIPAMENTO MILITAR.  DOCUMENTOS PREPARADO PELA  COMISSÇO AERONµUTICA  BRASILEIRA.";1999-10-20
"1626";"despacho telegráfico";"Embaixada em WASHINGTON";"PROTOCOLO. BRASIL-ESTADOS  UNIDOS. CONCESSAO DE  'AGREMENT'.";1999-10-21
"1925";"telegrama";"Embaixada em WASHINGTON";"Protocolo. Brasil-Estados  Unidos.An£ncio de  concessÆo de 'agrement'.";1999-10-21
"1935";"telegrama";"Embaixada em WASHINGTON";"Arnold & Porter. Faturas.  INSS.";1999-10-22
"1931";"telegrama";"Embaixada em WASHINGTON";"Brasil-Eti¢pia  (Cumulatividade). ConcessÆo de  agrement. Embaixador
Gebre-  Christos.";1999-10-22
"1947";"telegrama";"Embaixada em WASHINGTON";"Vazamento de comunica‡Æo  oﬁcial. providˆncias.";1999-10-25
"872";"telegrama";"Embaixada em PEQUIM";"China-Pol¡tica interna.  RepressÆo da Seita Falun  Gong. Repeti‡Æo de
protestos  apesar das condena‡äes.";1999-11-03
"2046";"telegrama";"Embaixada em WASHINGTON";"ANGOLA. ENCONTROS COM O  REPRESENTANTE DA ODERBRECHT E  O EMBAIXADOR DE ANGOLA EM  WASHINGTON.";1999-11-04
"2062";"telegrama";"Embaixada em WASHINGTON";"Espa‡o. Brasil-EUA.  Comercializa‡Æo do Centro de  Lan‡amentos de
Alcƒntara.  DecisÆo norte-americana.";1999-11-05
"2051";"telegrama";"Embaixada em WASHINGTON";"PROTOCOLO. BRASIL-NAMÖBIA.  CONCESSÇO DE AGREMENT.";1999-11-05
